identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
vulgare_orr_2016_dH,Foeniculum,vulgare,,73.4,46.9,-3.2,-10.3,1B,C3 plants,Plants,,Orr 2016
g_canescens_orr_2016_dH,Glycine,canescens,,72.4,20.2,1.4,-15.9,1B,C3 plants,Plants,,Orr 2016
max_orr_2016_dH,Glycine,max,,84.8,70.9,4.5,-18.6,1B,C3 plants,Plants,,Orr 2016
brachyantherum_orr_2016_dH,Hordeum,brachyantherum,,76.8,31.1,21.9,-16.8,1B,C3 plants,Plants,,Orr 2016
murinum_orr_2016_dH,Hordeum,murinum,,74.1,29.1,6.3,-17.9,1B,C3 plants,Plants,,Orr 2016
purpureus_orr_2016_dH,Lablab,purpureus,,67.8,20.0,-10.4,-14.7,1B,C3 plants,Plants,,Orr 2016
campestre_orr_2016_dH,Lepidium,campestre,,60.6,20.4,-12.0,-13.4,1B,C3 plants,Plants,,Orr 2016
multiflorum_orr_2016_dH,Lolium,multiflorum,,61.4,48.3,-29.1,-15.6,1B,C3 plants,Plants,,Orr 2016
rigidum_orr_2016_dH,Lolium,rigidum,,65.0,47.8,-47.5,-14.9,1B,C3 plants,Plants,,Orr 2016
uniflorum_orr_2016_dH,Macrotyloma,uniflorum,,91.0,89.1,3.7,-13.5,1B,C3 plants,Plants,,Orr 2016
esculenta_orr_2016_dH,Manihot,esculenta,,81.0,47.5,-21.5,-14.3,1B,C3 plants,Plants,,Orr 2016
annua_orr_2016_dH,Mercurialis,annua,,57.9,69.7,12.2,-12.2,1B,C3 plants,Plants,,Orr 2016
velutina_orr_2016_dH,Musa,velutina,,55.3,32.2,-71.3,-17.7,1B,C3 plants,Plants,,Orr 2016
tabacum_orr_2016_dH,Nicotiana,tabacum,,72.4,65.4,-69.8,-14.8,1B,C3 plants,Plants,,Orr 2016
barthii/glaberrima_orr_2016_dH,Oryza,barthii/glaberrima,,84.5,24.3,-5.7,-15.3,1B,C3 plants,Plants,,Orr 2016
eichingeri_orr_2016_dH,Oryza,eichingeri,,81.1,39.8,-36.7,-16.4,1B,C3 plants,Plants,,Orr 2016
glaberrima_orr_2016_dH,Oryza,glaberrima,,76.0,44.0,-59.4,-16.1,1B,C3 plants,Plants,,Orr 2016
glumaepatula_orr_2016_dH,Oryza,glumaepatula,,77.2,35.6,-56.7,-14.3,1B,C3 plants,Plants,,Orr 2016
longistaminata_orr_2016_dH,Oryza,longistaminata,,77.2,19.7,-27.2,-16.4,1B,C3 plants,Plants,,Orr 2016
meridionalis_orr_2016_dH,Oryza,meridionalis,,81.1,38.0,-7.0,-13.3,1B,C3 plants,Plants,,Orr 2016
