identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
lemmonii_orr_2016,Puccinellia,lemmonii,,5.2,,28.1,,1120,,102,,25,1B,canon,C3 plants,Orr 2016
maritima_orr_2016,Puccinellia,maritima,,5.4,,20.8,,676,,106,,25,1B,canon,C3 plants,Orr 2016
nuttalliana_orr_2016,Puccinellia,nuttalliana,,4,,25.2,,717,,105,,25,1B,canon,C3 plants,Orr 2016
montana_orr_2016,Pueraria,montana,,2.7,,20.9,,679,,101,,25,1B,canon,C3 plants,Orr 2016
sphaeroides_zhou_2019,Rhodobacter,sphaeroides,,3.7,,60,,1724,,58,,25,1C,,Alphaproteobacteria,Zhou 2019
palustris_satagopan_2014,Rhodopseudomonas,palustris,,4.9,,104,,277,,12,,30,2,,Alphaproteobacteria,Satagopan 2014
rubrum_corrected_average,Rhodospirillum,rubrum,,4.3,,78.4,,241.7,,11.3,,25,2,,Alphaproteobacteria,methodology-corrected average from Iñiguez et al. 2021 across multiple strains
rubrum_mueller_2007,Rhodospirillum,rubrum,,12.3,,149,,159,,9,,25,2,,Alphaproteobacteria,Mueller-Cajar 2007
rubrum_satagopan_2014,Rhodospirillum,rubrum,,4.3,,125,,143,,13,,30,2,,Alphaproteobacteria,Satagopan 2014
officinarum_hermida_2016,Saccharum,officinarum,,3.9,,26.3,,1256,,82.2,,25,1B,canon,C4 plants,Hermida-Carrera 2016
cereale_prins_2016,Secale,cereale,,3.23,,20.2,,472,,91.5,,25,1B,canon,C3 plants,Prins 2016
viridis_boyd_2015,Setaria,viridis,,5.44,,31.22,,359,,58.41,,25,1B,canon,C4 plants,Boyd 2015
viridis_sharwood_2016,Setaria,viridis,,5.9,,18.1,,619,,72.7,,25,1B,canon,C4 plants,Sharwood 2016
marinoi_valegård_2018,Skeletonema,marinoi,,4.665,,48,,1810,,96,,25,1D,,Diatoms,Valegård et al 2018
lycopersicum_hermida_2016,Solanum,lycopersicum,,2.3,,9.7,,363,,92.4,,25,1B,canon,C3 plants,Hermida-Carrera 2016
tuberosum_hermida_2016,Solanum,tuberosum,,2,,9.6,,295,,95.4,,25,1B,canon,C3 plants,Hermida-Carrera 2016
stenocarpa_orr_2016,Sphenostylis,stenocarpa,,2.8,,17.4,,574,,93.6,,25,1B,canon,C3 plants,Orr 2016
oleracea_corrected_average,Spinacia,oleracea,,1.9,,11.9,,478.8,,87.2,,25,1B,canon,C3 plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars
s_oleracea_hermida_2016,Spinacia,oleracea,,2.4,,14.1,,284,,97,,25,1B,canon,C3 plants,Hermida-Carrera 2016
oleracea_jordan_1984,Spinacia,oleracea,,1.719,,11,,500,,88,,25,1B,canon,C3 plants,Jordan 1984
oleracea_kubien_2008,Spinacia,oleracea,,3.2,,12.1,,574,,79.8,,25,1B,canon,C3 plants,Kubien 2008
oleracea_zhu_1998,Spinacia,oleracea,,2.7,,11,,520,,92,,25,1B,canon,C3 plants,Zhu 1998
laxum_sharwood_2016,Steinchisma,laxum,,2.3,,7.7,,419,,91.4,,25,1B,canon,C3 plants,Sharwood 2016
elongatus_mueller_2008,Synechococcus,elongatus,,11.8,,200,,199,,41.5,,25,1Bc,,Cyanobacteria,Mueller-Cajar 2008
elongatus_occhialini_2015,Synechococcus,elongatus,,14.4,,172,,585,,43,,25,1Bc,,Cyanobacteria,Occhialini 2015
elongatus_read_1992b,Synechococcus,elongatus,,2.57,,142,,664,,41,,25,1Bc,,Cyanobacteria,Read 1992b
elongatus_read_1994,Synechococcus,elongatus,,3.71,,167,,529,,41,,25,1Bc,,Cyanobacteria,Read 1994
elongatus_shih_2016,Synechococcus,elongatus,,9.78,,152,,1230,,50.3,,25,1Bc,,Cyanobacteria,Shih 2016
syn_corrected_average,Synechococcus,sp,,7,,139.6,,690.3,,43.9,,25,1Bc,,Green algae,methodology-corrected average from Iñiguez et al. 2021 across multiple strains
syn_zhu_1998,Synechococcus,sp,,6.6,,81,,460,,47,,25,1Bc,,Cyanobacteria,Zhu 1998
candida_orr_2016,Tephrosia,candida,,2.2,,15.9,,481,,97.8,,25,1B,canon,C3 plants,Orr 2016
purpurea_orr_2016,Tephrosia,purpurea,,2.2,,12.4,,333,,103,,25,1B,canon,C3 plants,Orr 2016
rhodesica_orr_2016,Tephrosia,rhodesica,,2.2,,13.7,,565,,91.6,,25,1B,canon,C3 plants,Orr 2016
hyalina_valegård_2018,Thalassiosira,hyalina,,4.101,,50,,1640,,99,,25,1D,,Diatoms,Valegård et al 2018
nordenskioeldii_valegård_2018,Thalassiosira,nordenskioeldii,,4.658,,122,,1420,,82,,25,1D,,Diatoms,Valegård et al 2018
oceanica_young_2016,Thalassiosira,oceanica,,2.4,,65,,954,,80,,25,1D,,Diatoms,Young 2016
weissflogii_young_2016,Thalassiosira,weissflogii,,3.2,,65,,2030,,79,,25,1D,,Diatoms,Young 2016
kodakarensis_kreel_2015,Thermococcus,kodakarensis,,16.6,,79,,43,,6,,83,3,,Archaea,Kreel 2015
kodakarensis_yoshida_2007,Thermococcus,kodakarensis,,0.25,,52.3,,900,,11,,25,3,,Archaea,Yoshida 2007
denitrificans_IA_hernandez_1996,Thiobacillus,denitrificans,,1.9,,138,,1640,,42.7,,25,1Aq,,Betaproteobacteria,Hernandez 1996
denitrificans_II_hernandez_1996,Thiobacillus,denitrificans,,3.5,,256,,619,,13.3,,25,2,,Betaproteobacteria,Hernandez 1996
lutea_heureux_2017,Tisochrysis,lutea,,2.2,,24.1,,800,,89,,25,1D,,Haptophytes,Heureux 2017
